,created_at,favorite_count,hashtags,latitute,longitute,retweet_count,text
1865,Mon Jan 28 23:41:29 +0000 2019,3,['CampFire'],,,7,"#CampFire

UPDATE:: The fairgrounds shelter is on lock down!

@reddogsusie @chortletown @Indigo_Pho13 @BadBoyEM… https://t.co/ju5VddoluK"
1866,Mon Jan 28 23:41:24 +0000 2019,0,"['CampFire', 'CampFirePets']",,,0,"RT @ChaliceGarden: 1K #CampFire families still seek their #CampFirePets, in shelters &amp; in burn zone! Butte Co is adopting them out DAILY 😢…"
1867,Mon Jan 28 23:41:04 +0000 2019,2,['fire'],,,0,"@ErinBrockovich Is it sad that there is more empathy from outsiders about this #fire?

All I hear is about… https://t.co/VAqnMKF2co"
1868,Mon Jan 28 23:40:32 +0000 2019,0,"['CampFire', 'CampFirePets']",,,0,"RT @ChaliceGarden: 1K #CampFire families still seek their #CampFirePets, in shelters &amp; in burn zone! Butte Co is adopting them out DAILY 😢…"
1869,Mon Jan 28 23:40:29 +0000 2019,0,"['CampFire', 'CampFirePets']",,,0,"RT @ChaliceGarden: #CampFire #CampFirePets
Our resource doc is 70 pgs (prior disasters avg 10-12)! Updated, verified. If you need something…"
1870,Mon Jan 28 23:40:19 +0000 2019,0,['CampFire'],,,0,"RT @FitzTheReporter: VIDEO: Activists read the 88 names of #CampFire's dead, in bid to shame CA public utilities commission before ""bailout…"
1871,Mon Jan 28 23:39:52 +0000 2019,3,"['fire', 'ButteCounty']",,,0,"Is it sad that there is more empathy from outsiders about this #fire?

All I hear is about #ButteCounty legislators… https://t.co/xx6CMck1nJ"
1872,Mon Jan 28 23:39:09 +0000 2019,0,['reunited'],,,0,"RT @Jasamsdestiny: YAY!!
Captain Kitty has #reunited with his family!   It was a long &amp; arduous journey, but he's finally safe &amp; where he b…"
1873,Mon Jan 28 23:37:39 +0000 2019,0,['CampFire'],,,0,"RT @thejdmorris: As they’ve done before, anti-PG&amp;E protesters read off names of #CampFire victims to the @californiapuc today. Later they c…"
1874,Mon Jan 28 23:37:20 +0000 2019,6,['CampFire'],,,2,@ErinBrockovich My mom Victoria Taft was killed in the #CampFire and I’m scared that there will be 0 paid to any vi… https://t.co/RwWQYLSZIe
1875,Mon Jan 28 23:36:38 +0000 2019,0,['CampFire'],,,0,"RT @FitzTheReporter: VIDEO: Activists read the 88 names of #CampFire's dead, in bid to shame CA public utilities commission before ""bailout…"
1876,Mon Jan 28 23:33:46 +0000 2019,0,[],,,0,"RT @Jasamsdestiny: So they don't have to change it because Gov Brown already did.  

➜ SUSPENDED FOR THREE YEARS after the date of this Exe…"
1877,Mon Jan 28 23:33:30 +0000 2019,0,['CampFire'],,,0,RT @ChaliceGarden: Want to help #CampFire survivors find their beloved kitties from wherever you are? 630 verified! It works! Detailed sear…
1878,Mon Jan 28 23:33:14 +0000 2019,0,"['CampFire', 'CampFirePets']",,,0,"RT @ChaliceGarden: #CampFire #CampFirePets
Our resource doc is 70 pgs (prior disasters avg 10-12)! Updated, verified. If you need something…"
1879,Mon Jan 28 23:33:11 +0000 2019,0,"['F1238', 'Paradise']",,,0,"RT @Jasamsdestiny: 1/26
Female black, white, orange Tortie  ID #F1238
Found: 574 Castle Drive #Paradise  ⬅️

If you know this lil girl
PM J…"
1880,Mon Jan 28 23:33:02 +0000 2019,0,"['F1239', 'Magalia']",,,0,"RT @Jasamsdestiny: FOUND 1/26
Orange &amp; white, altered male  ID #F1239
Area rescued:   6371 Calvin #Magalia  ⬅️

If you know this handsome b…"
1881,Mon Jan 28 23:32:58 +0000 2019,0,['CampFire'],,,0,RT @ChaliceGarden: Want to help #CampFire survivors find their beloved kitties from wherever you are? 630 verified! It works! Detailed sear…
